parameter_id,IMPC_GEL_027_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,l3wfk85a4txngt8
parameter_name,Neural tube closure
gene_accession_id,MGI:1921262
pvalue,0.7171962
gene_symbol,Rap2b
