parameter_name,Tremor
gene_accession_id,MGI:894679
parameter_id,IMPC_CSD_030_001
pvalue,0.3645569
gene_symbol,Bach2
mouse_life_stage,Early adult
analysis_id,4t7cn615399206p
mouse_strain,C57BL
