parameter_id,M-G-P_016_001_005
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.4925818
analysis_id,58pi2c1z626582p
parameter_name,Mean-cell-volume
