gene_symbol,Sdcbp2
analysis_id,i5ix6y2q3q3b9k0
mouse_strain,C57BL
parameter_id,IMPC_CSD_029_001
mouse_life_stage,Early adult
pvalue,0.3316569
gene_accession_id,MGI:2385156
parameter_name,Activity (body position)
