gene_symbol,Arpc5l
parameter_id,MGP_MLN_066_001
pvalue,0.2083943
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,b05t8vfa4an7g76
gene_accession_id,MGI:1921442
