gene_symbol,Trp53i11
gene_accession_id,MGI:2670995
analysis_id,10xbx3mmefz1bc1
parameter_id,MGP_PBI_035_001
mouse_life_stage,Early adult
pvalue,0.3627507
parameter_name,IgD+ mature B cell number
mouse_strain,C57BL
