analysis_id,aml1o08bb67ll8t
gene_accession_id,MGI:1918345
parameter_id,JAX_OFD_020_001
parameter_name,Distance travelled - total
pvalue,0.09447121
gene_symbol,Kif24
mouse_strain,C57BL
mouse_life_stage,Early adult
