gene_symbol,Col11a1
mouse_life_stage,E18.5
gene_accession_id,MGI:88446
pvalue,0.4476107
parameter_id,MGP_IMM_067_001
analysis_id,0d3frx2dbo603d4
parameter_name,CD11b-low cDC - % of cDC
mouse_strain,C57BL
