analysis_id,0bp77wn84ry80as
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
mouse_life_stage,E15.5
pvalue,0.9514245
parameter_id,MGP_BMI_006_001
gene_symbol,Mapkap1
mouse_strain,C57BL
gene_accession_id,MGI:2444554
