analysis_id,fqsb5153490269q
gene_symbol,Ivd
parameter_id,ESLIM_016_001_002
parameter_name,Red blood cell count
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3112957
gene_accession_id,MGI:1929242
