parameter_id,ESLIM_011_001_002
gene_symbol,Kcng1
gene_accession_id,MGI:3616086
parameter_name,PP1 startle magnitude
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,333hox103e6h18x
pvalue,0.4453879
