mouse_strain,C57BL
pvalue,0.718925
gene_accession_id,MGI:1914515
parameter_name,Effector CD8+ T cells - % of CD45+
gene_symbol,Slc39a10
parameter_id,MGP_IMM_081_001
mouse_life_stage,E9.5
analysis_id,4we1mz78pqg70o0
