parameter_name,Glucose
parameter_id,HMGULA_CBC_018_001
gene_symbol,Slc30a4
pvalue,0.5738649
analysis_id,uv71n5bqs369w68
gene_accession_id,MGI:1345282
mouse_life_stage,Late adult
mouse_strain,C57BL
