parameter_name,Tibia
parameter_id,IMPC_XRY_025_001
gene_symbol,Tiprl
mouse_strain,C57BL
gene_accession_id,MGI:1915087
pvalue,0.4488408
mouse_life_stage,E12.5
analysis_id,09on7j4zj3w84pq
