parameter_id,MGP_CSD_067_001
mouse_strain,C57BL
parameter_name,Snout size
mouse_life_stage,Early adult
gene_accession_id,MGI:97838
pvalue,0.5070456
analysis_id,gnk6l2uj8mfw6m5
gene_symbol,Eprs1
