gene_symbol,Npbwr1
analysis_id,43h240dn44693cv
pvalue,0.7274987
parameter_name,Iron
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_011_001
mouse_strain,C57BL
gene_accession_id,MGI:891989
