parameter_name,Mean corpuscular hemoglobin
parameter_id,IMPC_HEM_006_001
gene_symbol,Dmap1
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,vo9ru42me0p82b5
gene_accession_id,MGI:1913483
pvalue,0.1446187
