analysis_id,cw6t8zbl33s4129
parameter_id,IMPC_HEM_029_001
gene_symbol,Zc2hc1a
pvalue,0.1738229
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Neutrophil differential count
gene_accession_id,MGI:1914556
