analysis_id,91a5lf6iv29w4t7
gene_accession_id,MGI:105073
pvalue,0.2706733
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Periphery - Permanence Time
parameter_id,M-G-P_007_001_008
gene_symbol,Tnni1
