parameter_id,IMPC_ECH_003_001
pvalue,0.9275834
analysis_id,d2o8c86q7qz5786
mouse_life_stage,Early adult
gene_symbol,Car13
parameter_name,Stroke Volume
mouse_strain,C57BL
gene_accession_id,MGI:1931322
