parameter_name,Weight
analysis_id,jataz8545795q62
gene_accession_id,MGI:1917604
mouse_life_stage,Middle aged adult
pvalue,0.8125043
parameter_id,M-G-P_005_001_001
gene_symbol,Secisbp2l
mouse_strain,C57BL
