analysis_id,p7zo5bc80f74510
mouse_strain,C57BL
parameter_name,UIBC (unsaturated iron binding capacity)
gene_accession_id,MGI:1919949
pvalue,0.1558223
gene_symbol,Lime1
parameter_id,IMPC_CBC_024_001
mouse_life_stage,Early adult
