analysis_id,77z4r5gct9t27tk
gene_accession_id,MGI:1920638
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_005_001
parameter_name,Fractional Shortening
pvalue,0.1136862
gene_symbol,Bpifa3
