analysis_id,703hx8gvxm167t4
parameter_name,Total ab T cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Dnajc5b
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
parameter_id,MGP_MLN_063_001
pvalue,0.307826
