analysis_id,97q1790555022s2
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
parameter_id,IMPC_IMM_025_001
pvalue,0.7934205
parameter_name,DN CD25- NKT cells
mouse_strain,C3H
gene_symbol,Mecom
