gene_symbol,Pex19
mouse_life_stage,Early adult
pvalue,0.5353525
parameter_name,Bone Mineral Density (excluding skull)
gene_accession_id,MGI:1334458
parameter_id,IMPC_DXA_004_001
analysis_id,3095s7fv383tc8n
mouse_strain,C57BL
