gene_symbol,Lurap1
analysis_id,45h969mlh93x58s
mouse_life_stage,Early adult
parameter_name,Caudal processes
mouse_strain,C57BL
parameter_id,IMPC_XRY_067_001
gene_accession_id,MGI:1915325
pvalue,0.07229181
