parameter_name,Ly6Clow monocyte percentage
parameter_id,MGP_PBI_018_001
gene_symbol,Hpca
mouse_life_stage,Late adult
gene_accession_id,MGI:1336200
pvalue,0.3185519
mouse_strain,C57BL
analysis_id,uv13564093769x6
