analysis_id,44e3nzh7qrc761i
pvalue,0.3535265
parameter_id,IMPC_CSD_078_001
mouse_strain,C57BL
parameter_name,Vocalization
gene_accession_id,MGI:104805
gene_symbol,Snrpb2
mouse_life_stage,Early adult
