gene_symbol,Zmynd19
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,06078cr5bl0ok7p
gene_accession_id,MGI:1914437
parameter_id,IMPC_HEM_031_001
pvalue,0.2332872
parameter_name,Lymphocyte differential count
