parameter_name,End-Diastolic Diameter
pvalue,0.8658321
parameter_id,IMPC_ECH_002_001
analysis_id,27j99i55mk95461
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
mouse_strain,C57BL
gene_symbol,Bmi1
