analysis_id,019585om5z9nmo9
pvalue,0.395851
gene_symbol,Extl1
mouse_strain,C57BL
parameter_name,Creatinine
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_005_001
gene_accession_id,MGI:1888742
