analysis_id,91y15n80ji7ln0g
mouse_life_stage,Early adult
gene_accession_id,MGI:1860103
parameter_id,IMPC_IPG_010_001
gene_symbol,Slc2a8
pvalue,0.2124158
parameter_name,Fasted blood glucose concentration
mouse_strain,C57BL
