gene_symbol,Sprr1b
analysis_id,97al9flajp6ogrc
pvalue,0.2154556
gene_accession_id,MGI:106659
parameter_name,Resting Treg cells - % of Treg
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_MLN_010_001
