analysis_id,iw20nhkpa8c7467
gene_symbol,Slc45a3
gene_accession_id,MGI:1922082
parameter_id,IMPC_HEM_003_001
mouse_life_stage,Early adult
parameter_name,Hemoglobin
mouse_strain,C57BL
pvalue,0.4426768
