analysis_id,l58d09k5ofhu4yu
parameter_id,JAXLA_EYE_092_001
mouse_strain,C57BL
mouse_life_stage,E18.5
gene_accession_id,MGI:2685277
pvalue,0.3143054
parameter_name,Retina (combined)
gene_symbol,Zyg11b
