gene_symbol,Trp53rkb
parameter_id,JAX_SLW_014_001
pvalue,0.1593906
analysis_id,5t9747r66tvo9wk
parameter_name,Breath rate during sleep standard deviation
gene_accession_id,MGI:1914050
mouse_strain,C57BL
mouse_life_stage,Early adult
