gene_symbol,Mov10
gene_accession_id,MGI:97054
parameter_id,MGP_PBI_031_001
pvalue,0.8693644
mouse_life_stage,Early adult
analysis_id,anw2cc91dwtr093
parameter_name,KLRG1+ mature NK cell number
mouse_strain,C57BL
