gene_symbol,Zyg11b
analysis_id,ks2l0iz886v38s0
mouse_strain,C57BL
gene_accession_id,MGI:2685277
parameter_id,HRWLLA_CSD_008_001
parameter_name,Coat - color pattern - back
mouse_life_stage,Early adult
pvalue,0.1638718
