mouse_life_stage,Late adult
analysis_id,9162c7f7mrcenim
parameter_id,MGP_IMM_110_001
pvalue,0.1727986
mouse_strain,C57BL
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
parameter_name,Transitional 1 B cells - % of CD45+
