analysis_id,847nt9kcpi9vi5n
parameter_name,B cell percentage
gene_symbol,Slc39a10
mouse_strain,C57BL
pvalue,0.4084722
mouse_life_stage,E9.5
gene_accession_id,MGI:1914515
parameter_id,MGP_PBI_014_001
