parameter_id,IMPC_ECH_002_001
gene_accession_id,MGI:109356
analysis_id,38i161he658ad08
mouse_life_stage,Late adult
gene_symbol,Snap23
mouse_strain,C57BL
parameter_name,End-Diastolic Diameter
pvalue,0.8712059
