parameter_name,Creatinine
parameter_id,IMPC_CBC_005_001
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_symbol,Wars2
pvalue,0.933254
analysis_id,7323o8o3y11i444
gene_accession_id,MGI:1917810
