analysis_id,4ok9it089su1836
parameter_name,Mean left eye lens density
parameter_id,IMPC_EYE_056_001
mouse_strain,C57BL
pvalue,0.2760547
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
gene_symbol,Tubb4b
