parameter_id,UCDLA_EYE_017_001
analysis_id,v370j37000k6b9l
gene_accession_id,MGI:88174
mouse_strain,C57BL
mouse_life_stage,E15.5
pvalue,0.70888
gene_symbol,Bmi1
parameter_name,Lens Opacity
