gene_symbol,Rab13
analysis_id,k328rgj1689bl41
mouse_life_stage,Early adult
parameter_id,UCD_OWT_008_001
parameter_name,Liver weight
mouse_strain,C57BL
gene_accession_id,MGI:1927232
pvalue,0.5367994
