analysis_id,y7mym903y83548y
gene_symbol,Amigo1
parameter_id,MGP_IMM_081_001
pvalue,0.08943732
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2653612
parameter_name,Effector CD8+ T cells - % of CD45+
