gene_symbol,Nemp2
analysis_id,c7wq8u1172rx5ky
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,HMGULA_HWT_008_001
parameter_name,Heart weight
pvalue,0.3311985
gene_accession_id,MGI:2444113
