analysis_id,o64wincd2x54t93
parameter_id,HRWLLA_OFD_013_001
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
parameter_name,Periphery average speed
mouse_strain,C57BL
pvalue,0.5332959
gene_symbol,F2
