parameter_name,center - distance
pvalue,0.1654393
analysis_id,072123dpz007c49
parameter_id,M-G-P_007_001_010
gene_accession_id,MGI:894679
gene_symbol,Bach2
mouse_strain,C57BL
mouse_life_stage,Early adult
