analysis_id,203s78qba9a40xd
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
pvalue,0.4425012
mouse_strain,C57BL
gene_symbol,Wars2
parameter_name,CD8 CD44+CD62L- T cells
parameter_id,IMPC_IMM_032_001
