analysis_id,oges57712122263
parameter_id,HMGULA_CBC_003_001
parameter_name,Chloride
mouse_life_stage,Late adult
gene_symbol,Snap23
mouse_strain,C57BL
gene_accession_id,MGI:109356
pvalue,0.225501
