mouse_strain,129SV
parameter_name,Distance travelled - total
pvalue,0.6480124
parameter_id,JAXLA_OFD_020_001
gene_symbol,Arpc2
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
analysis_id,6or5l0986gu9921
