gene_symbol,Rap2b
analysis_id,v3399z29320d16k
parameter_name,Total holepokes
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
pvalue,0.6826669
parameter_id,JAXLA_HBD_001_001
mouse_strain,C57BL
