parameter_name,Monocytes
pvalue,0.2544741
analysis_id,5mulr9j3314f98o
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_symbol,Bmi1
parameter_id,IMPC_IMM_051_001
gene_accession_id,MGI:88174
