analysis_id,15410e432kv7203
gene_accession_id,MGI:1914836
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ubxn11
pvalue,0.8838694
parameter_name,% Pre-pulse inhibition - PPI1
parameter_id,IMPC_ACS_033_001
