gene_symbol,Abo
mouse_life_stage,Early adult
analysis_id,6jt5x9qrsj8mymd
pvalue,0.741268
gene_accession_id,MGI:2135738
parameter_name,Eosinophils
mouse_strain,C57BL
parameter_id,IMPC_IMM_052_001
