analysis_id,z8j325i24rg88f8
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
pvalue,0.2525682
parameter_name,Platelet count
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_008_001
mouse_strain,C57BL
