analysis_id,812837jc37e5wy7
gene_symbol,Tatdn3
parameter_name,Delayed embryonic development
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3966294
parameter_id,IMPC_GEL_063_001
gene_accession_id,MGI:1916222
