gene_symbol,Hpca
analysis_id,87c7631010u35bd
parameter_name,Triglycerides
pvalue,0.1902583
mouse_strain,C57BL
gene_accession_id,MGI:1336200
parameter_id,HMGULA_CBC_017_001
mouse_life_stage,Late adult
