gene_symbol,Trp53rkb
analysis_id,7942z0n13ifya5c
mouse_strain,C57BL
parameter_name,Startle Response
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
parameter_id,M-G-P_008_001_013
pvalue,0.09908703
