analysis_id,266f8a92f0y8tpd
parameter_name,Fat/Body weight
pvalue,0.8832718
mouse_strain,C57BL
parameter_id,JAXLA_DXA_009_001
gene_symbol,Psmd14
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
