parameter_id,IMPC_IPG_010_001
gene_symbol,Inpp1
pvalue,0.9289259
gene_accession_id,MGI:104848
analysis_id,b6ug7a6asaa3k4o
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Fasted blood glucose concentration
