gene_symbol,Ufc1
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI1
pvalue,0.95279
parameter_id,IMPC_ACS_033_001
mouse_life_stage,Early adult
analysis_id,24fi201dj06ap10
gene_accession_id,MGI:1913405
